Código do alimento,Descrição do alimento,Código da preparação,Descrição da preparação,Energia (kcal),Proteína (g),Lipídios totais (g),Carboidrato (g),Fibra alimentar total (g),Colesterol (mg),AG Saturados (g),AG Mono (g),AG Poli (g),AG Linoléico (g),AG Linolênico (g),AG Trans total(g),Açúcar total (g),Açúcar de adição (g),Cálcio (mg),Magnésio (mg),Manganês (mg),Fósforo (mg),Ferro (mg),Sódio (mg),Sódio de adição (mg),Potássio (mg),Cobre (mg),Zinco (mg),Selênio (mcg),Retinol (mcg),Vitamina A (RAE) (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Niacina (NE) (mg),Piridoxina (mg),Cobalamina (mcg),Folato (DFE) (mcg),Vitamina D (mcg),Vitamina E (mg),Vitamina C (mg),Grupo Alimentar
7802801,Nambu ,2.0,Cozido(a),219,23.9,13,-,-,116,3.739,5.462,2.733,2.324,0.096,0.257,-,-,17,26,0.017,332,5.91,57,333,256,0.763,3.83,20.1,28,28,0.28,0.35,7.6,13.383,0.57,0.41,6,-,0.06,2.9,12
7802901,Nuggets de frango,3.0,Grelhado(a)/brasa/churrasco,273.016,16.237,15.63,15.912,0.643,39.844,3.619,7.431,2.572,2.341,0.137,3.008,0.143,-,9.845,17.73,0.107,121.516,1.36,704.38,-,138.841,0.047,0.711,16.445,4.219,4.888,0.167,0.142,6.892,10.018,0.299,0.159,35,0.094,1.087,-,12
7802901,Nuggets de frango,4.0,Assado(a),273.016,16.237,15.63,15.912,0.643,39.844,3.619,7.431,2.572,2.341,0.137,3.008,0.143,-,9.845,17.73,0.107,121.516,1.36,704.38,-,138.841,0.047,0.711,16.445,4.219,4.888,0.167,0.142,6.892,10.018,0.299,0.159,35,0.094,1.087,-,12
7802901,Nuggets de frango,5.0,Frito(a),273.016,16.237,15.63,15.912,0.643,39.844,3.619,7.431,2.572,2.341,0.137,3.008,0.143,-,9.845,17.73,0.107,121.516,1.36,704.38,-,138.841,0.047,0.711,16.445,4.219,4.888,0.167,0.142,6.892,10.018,0.299,0.159,35,0.094,1.087,-,12
7802901,Nuggets de frango,6.0,Empanado(a)/à milanesa,273.016,16.237,15.63,15.912,0.643,39.844,3.619,7.431,2.572,2.341,0.137,3.008,0.143,-,9.845,17.73,0.107,121.516,1.36,704.38,-,138.841,0.047,0.711,16.445,4.219,4.888,0.167,0.142,6.892,10.018,0.299,0.159,35,0.094,1.087,-,12
7802901,Nuggets de frango,7.0,Refogado(a),273.016,16.237,15.63,15.912,0.643,39.844,3.619,7.431,2.572,2.341,0.137,3.008,0.143,-,9.845,17.73,0.107,121.516,1.36,704.38,-,138.841,0.047,0.711,16.445,4.219,4.888,0.167,0.142,6.892,10.018,0.299,0.159,35,0.094,1.087,-,12
7802902,Steak de frango,2.0,Cozido(a),211.837,31.369,7.117,3.392,0.135,85,1.678,2.128,2.478,2.063,0.215,0.104,0.014,-,15.667,27.978,0.047,220.8,1.268,77.089,333,251.756,0.056,1.261,27.081,9,9,0.1,0.138,12.683,18.794,0.602,0.34,13.067,0.2,0.482,-,12
7802902,Steak de frango,3.0,Grelhado(a)/brasa/churrasco,211.837,31.369,7.117,3.392,0.135,85,1.678,2.128,2.478,2.063,0.215,0.104,0.014,-,15.667,27.978,0.047,220.8,1.268,77.089,333,251.756,0.056,1.261,27.081,9,9,0.1,0.138,12.683,18.794,0.602,0.34,13.067,0.2,0.482,-,12
7802902,Steak de frango,4.0,Assado(a),211.837,31.369,7.117,3.392,0.135,85,1.678,2.128,2.478,2.063,0.215,0.104,0.014,-,15.667,27.978,0.047,220.8,1.268,77.089,333,251.756,0.056,1.261,27.081,9,9,0.1,0.138,12.683,18.794,0.602,0.34,13.067,0.2,0.482,-,12
7802902,Steak de frango,5.0,Frito(a),211.837,31.369,7.117,3.392,0.135,85,1.678,2.128,2.478,2.063,0.215,0.104,0.014,-,15.667,27.978,0.047,220.8,1.268,77.089,333,251.756,0.056,1.261,27.081,9,9,0.1,0.138,12.683,18.794,0.602,0.34,13.067,0.2,0.482,-,12
7802902,Steak de frango,6.0,Empanado(a)/à milanesa,211.837,31.369,7.117,3.392,0.135,85,1.678,2.128,2.478,2.063,0.215,0.104,0.014,-,15.667,27.978,0.047,220.8,1.268,77.089,333,251.756,0.056,1.261,27.081,9,9,0.1,0.138,12.683,18.794,0.602,0.34,13.067,0.2,0.482,-,12
7802902,Steak de frango,99.0,Não se aplica,211.837,31.369,7.117,3.392,0.135,85,1.678,2.128,2.478,2.063,0.215,0.104,0.014,-,15.667,27.978,0.047,220.8,1.268,77.089,333,251.756,0.056,1.261,27.081,9,9,0.1,0.138,12.683,18.794,0.602,0.34,13.067,0.2,0.482,-,12
