Código do alimento,Descrição do alimento,Código da preparação,Descrição da preparação,Energia (kcal),Proteína (g),Lipídios totais (g),Carboidrato (g),Fibra alimentar total (g),Colesterol (mg),AG Saturados (g),AG Mono (g),AG Poli (g),AG Linoléico (g),AG Linolênico (g),AG Trans total(g),Açúcar total (g),Açúcar de adição (g),Cálcio (mg),Magnésio (mg),Manganês (mg),Fósforo (mg),Ferro (mg),Sódio (mg),Sódio de adição (mg),Potássio (mg),Cobre (mg),Zinco (mg),Selênio (mcg),Retinol (mcg),Vitamina A (RAE) (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Niacina (NE) (mg),Piridoxina (mg),Cobalamina (mcg),Folato (DFE) (mcg),Vitamina D (mcg),Vitamina E (mg),Vitamina C (mg),Grupo Alimentar
6300101,"Arroz (polido, parboilizado, agulha, agulhinha, etc.)",99.0,Não se aplica,135.6229457071333,2.4961126633333333,1.200042,27.784863469999994,1.5457021999999998,-,0.3506652,0.2221954,0.5631178,0.5563308,0.0662088,0.005194,-,-,3.509598866666667,2.2312506666666665,0.2937593333333333,17.769139,0.07640533333333333,1.188900133333333,382,14.529864733333334,0.014852999999999998,0.48661626666666663,0.4469682,-,-,-,-,-,-,-,-,-,-,0.0797818,-,1
6300201,Arroz integral,99.0,Não se aplica,130.9456437535,2.56288515,1.9657966666666666,25.55681445,2.722389866666667,-,0.4496852,0.6182753999999999,0.8601778,0.8038808,0.07611079999999999,0.005194,-,-,5.153000799999999,58.126720399999996,0.6211854666666666,104.81564060000001,0.2599224,1.2324689333333332,282,74.41518033333332,0.020134066666666665,0.6760745333333333,0.4469682,-,-,0.079216,-,-,-,0.079216,-,-,-,0.0797818,-,1
6300701,Milho (em grão),1.0,Cru(a),160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3.152,26.006,0.159,75,0.445,244.964,245,212.051,0.047,0.611,2.904,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300701,Milho (em grão),2.0,Cozido(a),160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3.152,26.006,0.159,75,0.445,244.964,245,212.051,0.047,0.611,2.904,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300701,Milho (em grão),3.0,Grelhado(a)/brasa/churrasco,160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3.152,26.006,0.159,75,0.445,244.964,245,212.051,0.047,0.611,2.904,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300701,Milho (em grão),4.0,Assado(a),160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3.152,26.006,0.159,75,0.445,244.964,245,212.051,0.047,0.611,2.904,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300701,Milho (em grão),7.0,Refogado(a),160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3,26,0.158,75,0.443,-,245,212,0.047,0.611,2.903,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300701,Milho (em grão),13.0,Ensopado,160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3,26,0.158,75,0.443,-,245,212,0.047,0.611,2.903,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300701,Milho (em grão),99.0,Não se aplica,160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3.152,26.006,0.159,75,0.445,244.964,245,212.051,0.047,0.611,2.904,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300706,Canjiquinha de milho em grão,1.0,Cru(a),79.68,1.237,2.198,13.503,0.672,-,0.329,0.49,1.218,1.086,0.132,0.01,0.285,-,3.451,6.928,0.031,17.913,0.739,131.499,126,25.957,0.023,0.131,2.847,-,1.827,0.105,0.071,0.906,1.017,0.034,-,20.813,-,0.182,-,1
6300706,Canjiquinha de milho em grão,2.0,Cozido(a),62.952,1.237,0.305,13.503,0.672,-,0.033,0.059,0.125,0.122,0.003,-,0.285,-,3.373,6.925,0.031,17.913,0.737,5.009,126,25.931,0.023,0.131,1.979,-,1.827,0.105,0.071,0.906,1.017,0.034,-,20.813,-,0.027,-,1
6300706,Canjiquinha de milho em grão,13.0,Ensopado,79.68,1.237,2.198,13.503,0.672,-,0.329,0.49,1.218,1.086,0.132,0.01,0.285,-,3.373,6.925,0.031,17.913,0.738,5.009,126,25.931,0.023,0.131,2.846,-,1.827,0.105,0.071,0.906,1.017,0.034,-,20.813,-,0.182,-,1
6300706,Canjiquinha de milho em grão,14.0,Mingau,62.952,1.237,0.305,13.503,0.672,-,0.033,0.059,0.125,0.122,0.003,-,0.285,-,3.373,6.925,0.031,17.913,0.737,5.009,126,25.931,0.023,0.131,1.979,-,1.827,0.105,0.071,0.906,1.017,0.034,-,20.813,-,0.027,-,1
6300706,Canjiquinha de milho em grão,15.0,Sopa,31.443,0.948,0.123,7.012,0.711,-,0.039,0.027,0.032,0.027,0.005,0.002,3.275,2.523,8.555,6.347,0.068,15.762,0.285,310.432,-,88.315,0.039,0.115,1.344,-,33.476,0.03,0.026,0.505,0.667,0.04,0.015,9.276,-,0.204,2.099,1
6300706,Canjiquinha de milho em grão,99.0,Não se aplica,62.952,1.237,0.305,13.503,0.672,-,0.033,0.059,0.125,0.122,0.003,-,0.285,-,3.373,6.925,0.031,17.913,0.737,5.009,126,25.931,0.023,0.131,1.979,-,1.827,0.105,0.071,0.906,1.017,0.034,-,20.813,-,0.027,-,1
6300707,Xerém de milho,99.0,Não se aplica,62.952,1.237,0.305,13.503,0.672,-,0.033,0.059,0.125,0.122,0.003,-,0.285,-,3.373,6.925,0.031,17.913,0.737,5.009,126,25.931,0.023,0.131,1.979,-,1.827,0.105,0.071,0.906,1.017,0.034,-,20.813,-,0.027,-,1
6301001,Amendoim (em grão) in natura,99.0,Não se aplica,567,25.8,49.24,16.13,8.5,-,6.834,24.429,15.559,15.555,0.003,-,4,-,92,168,1.934,376,4.58,18,-,705,1.144,3.27,7.2,-,-,0.64,0.135,12.066,16.233,0.348,-,240,-,8.33,-,1
6301101,Ervilha em grão,99.0,Não se aplica,109.093,5.36,3.059,15.63,5.5,-,0.483,0.666,1.741,1.528,0.212,0.015,5.94,-,27,39,0.525,117,1.541,3,236,271,0.173,1.19,3.201,-,40.083,0.259,0.149,2.021,2.638,0.216,-,63,-,0.372,14.2,1
6301201,Fava (em grão),99.0,Não se aplica,85.617,4.8,3.172,10.1,3.6,-,0.56,0.629,1.846,1.482,0.363,0.014,1.235,-,18,31,0.261,73,1.501,41,222,193,0.06,0.47,2.224,-,18.833,0.128,0.09,1.2,2,0.029,-,58,-,0.336,19.8,1
6301204,Mangalô amargo em grão,99.0,Não se aplica,85.617,4.8,3.172,10.1,3.6,-,0.56,0.629,1.846,1.482,0.363,0.014,1.235,-,18,31,0.261,73,1.501,41,222,193,0.06,0.47,2.224,-,18.833,0.128,0.09,1.2,2,0.029,-,58,-,0.336,19.8,1
6301603,Feijão-de-corda,99.0,Não se aplica,121.332,3.17,3.133,20.32,5,-,0.527,0.661,1.75,1.495,0.255,0.015,0.34,-,128,52,0.572,51,1.121,4,229,418,0.133,1.03,3.761,-,39.583,0.101,0.148,1.403,2.02,0.065,-,127,-,0.445,2.2,1
6301634,Feijão-verde,99.0,Não se aplica,121.332,3.17,3.133,20.32,5,-,0.527,0.661,1.75,1.495,0.255,0.015,0.34,-,128,52,0.572,51,1.121,4,229,418,0.133,1.03,3.761,-,39.583,0.101,0.148,1.403,2.02,0.065,-,127,-,0.445,2.2,1
6302001,Semente de linhaça,99.0,Não se aplica,534,18.29,42.16,28.88,27.3,-,3.663,7.527,28.73,5.903,22.813,-,1.55,-,255,392,2.482,642,5.73,30,-,813,1.22,4.34,25.4,-,-,1.644,0.161,3.08,8.03,0.473,-,87,-,0.31,0.6,1
6302602,Andu,99.0,Não se aplica,97.405,5.838,1.794,15.054,3.78,-,0.303,0.38,1.006,0.857,0.149,0.008,0.3,-,55.202,38.201,0.382,67.8,2.221,5.203,219,336.6,0.176,0.832,1.506,-,-,0.071,0.028,0.084,1.234,0.056,-,48.6,-,0.694,-,1
6302801,Grão de bico,99.0,Não se aplica,188.481,8.86,5.359,27.42,7.6,-,0.702,1.214,2.755,2.524,0.231,0.015,1.7,-,49,48,1.03,168,2.891,7,230,291,0.352,1.53,4.969,-,1.333,0.116,0.063,0.526,1.943,0.139,-,172,-,0.577,1.3,1
6302901,Lentilha,99.0,Não se aplica,136.277,9.02,2.674,20.13,5.86,-,0.412,0.587,1.499,1.306,0.193,0.012,0.39,-,19,36,0.494,180,3.331,2,191,369,0.251,1.27,3.851,-,0.417,0.169,0.073,1.06,2.41,0.178,-,181,-,0.298,1.5,1
6303001,Soja em grão,99.0,Não se aplica,196.342,16.64,11.611,9.93,6,-,1.71,2.583,6.589,5.81,0.777,0.014,0.8,-,102,86,0.824,245,5.141,1,219,515,0.407,1.15,8.51,-,0.417,0.155,0.285,0.399,4.432,0.234,-,54,-,0.566,1.7,1
6303102,"Feijão (preto, mulatinho, roxo, rosinha, etc.)",99.0,Não se aplica,97.405,5.838,1.794,15.054,3.78,-,0.303,0.38,1.006,0.857,0.149,0.008,0.3,-,55.202,38.201,0.382,67.8,2.221,5.203,219,336.6,0.176,0.832,1.506,-,-,0.071,0.028,0.084,1.234,0.056,-,48.6,-,0.694,-,1
6303501,Quirera não especificada,99.0,Não se aplica,62.952,1.237,0.305,13.503,0.672,-,0.033,0.059,0.125,0.122,0.003,-,0.285,-,3.373,6.925,0.031,17.913,0.737,5.009,126,25.931,0.023,0.131,1.979,-,1.827,0.105,0.071,0.906,1.017,0.034,-,20.813,-,0.027,-,1
6304034,Feijão-verde orgânico,99.0,Não se aplica,121.332,3.17,3.133,20.32,5,-,0.527,0.661,1.75,1.495,0.255,0.015,0.34,-,128,52,0.572,51,1.121,4,229,418,0.133,1.03,3.761,-,39.583,0.101,0.148,1.403,2.02,0.065,-,127,-,0.445,2.2,1
6304101,Feijão orgânico,99.0,Não se aplica,97.405,5.838,1.794,15.054,3.78,-,0.303,0.38,1.006,0.857,0.149,0.008,0.3,-,55.202,38.201,0.382,67.8,2.221,5.203,219,336.6,0.176,0.832,1.506,-,-,0.071,0.028,0.084,1.234,0.056,-,48.6,-,0.694,-,1
6304201,Pipoca  light,99.0,Não se aplica,445.938,10.773,17.78,64.852,12.071,-,3.748,9.358,3.724,3.636,0.088,4.203,0.716,-,6.488,119.908,0.929,298.035,2.665,1072.505,-,274.113,0.219,2.567,0.003,-,8.186,0.087,0.069,1.921,3.101,0.131,-,25.808,-,1.235,-,1
6304301,Arroz  orgânico,99.0,Não se aplica,135.6229457071333,2.4961126633333333,1.200042,27.784863469999994,1.5457021999999998,-,0.3506652,0.2221954,0.5631178,0.5563308,0.0662088,0.005194,-,-,3.509598866666667,2.2312506666666665,0.2937593333333333,17.769139,0.07640533333333333,1.188900133333333,382,14.529864733333334,0.014852999999999998,0.48661626666666663,0.4469682,-,-,-,-,-,-,-,-,-,-,0.0797818,-,1
6304401,Arroz integral orgânico,99.0,Não se aplica,130.9456437535,2.56288515,1.9657966666666666,25.55681445,2.722389866666667,-,0.4496852,0.6182753999999999,0.8601778,0.8038808,0.07611079999999999,0.005194,-,-,5.153000799999999,58.126720399999996,0.6211854666666666,104.81564060000001,0.2599224,1.2324689333333332,282,74.41518033333332,0.020134066666666665,0.6760745333333333,0.4469682,-,-,0.079216,-,-,-,0.079216,-,-,-,0.0797818,-,1
6304602,Feijão-de-soja orgânico,99.0,Não se aplica,196.342,16.64,11.611,9.93,6,-,1.71,2.583,6.589,5.81,0.777,0.014,0.8,-,102,86,0.824,245,5.141,1,219,515,0.407,1.15,8.51,-,0.417,0.155,0.285,0.399,4.432,0.234,-,54,-,0.566,1.7,1
6304901,Quinoa,99.0,Não se aplica,135.465,4.365,4.331,19.834,2.164,-,0.602,1.058,2.435,2.171,0.247,0.013,1.886,-,16.573,61.582,0.628,141.277,1.414,4.271,374,174.046,0.189,0.965,3.753,-,0.219,0.111,0.098,0.47,1.269,0.151,-,56.882,-,0.955,-,1
6400101,Batata-inglesa,1.0,Cru(a),86,1.71,0.1,20.01,2.05,-,0.026,0.002,0.043,0.032,0.01,-,0.86,-,8,20,0.14,40,0.31,5,242,328,0.167,0.27,0.3,-,0.167,0.098,0.019,1.312,1.762,0.269,-,9,-,0.06,7.4,2
6400101,Batata-inglesa,2.0,Cozido(a),86,1.71,0.1,20.01,2.05,-,0.026,0.002,0.043,0.032,0.01,-,0.86,-,8,20,0.14,40,0.31,5,242,328,0.167,0.27,0.3,-,0.167,0.098,0.019,1.312,1.762,0.269,-,9,-,0.06,7.4,2
6400101,Batata-inglesa,3.0,Grelhado(a)/brasa/churrasco,86,1.71,0.1,20.01,2.05,-,0.026,0.002,0.043,0.032,0.01,-,0.86,-,8,20,0.14,40,0.31,5,242,328,0.167,0.27,0.3,-,0.167,0.098,0.019,1.312,1.762,0.269,-,9,-,0.06,7.4,2
6400101,Batata-inglesa,4.0,Assado(a),86,1.71,0.1,20.01,2.05,-,0.026,0.002,0.043,0.032,0.01,-,0.86,-,8,20,0.14,40,0.31,5,242,328,0.167,0.27,0.3,-,0.167,0.098,0.019,1.312,1.762,0.269,-,9,-,0.06,7.4,2
6400101,Batata-inglesa,5.0,Frito(a),263.5,2.871,13.64,33.6,3.442,-,2.152,3.073,7.851,6.918,0.931,0.072,1.444,-,13.433,33.583,0.235,67.166,0.527,8.396,380,550.764,0.28,0.455,6.678,-,0.28,0.165,0.032,2.203,2.959,0.452,-,15.112,-,1.203,12.426,2
6400101,Batata-inglesa,7.0,Refogado(a),111.736,1.71,3.011,20.01,2.05,-,0.482,0.665,1.724,1.515,0.208,0.016,0.86,-,8,20,0.14,40,0.311,5,242,328,0.167,0.27,1.634,-,0.167,0.098,0.019,1.312,1.762,0.269,-,9,-,0.298,7.4,2
6400101,Batata-inglesa,8.0,Molho vermelho,73.6,1.632,0.116,17.084,1.94,-,0.026,0.007,0.049,0.039,0.009,-,1.538,-,9,19.2,0.133,37.2,0.452,108.8,242,328.6,0.157,0.256,0.28,-,3.617,0.083,0.028,1.245,1.638,0.235,-,9.4,-,0.332,7.32,2
6400101,Batata-inglesa,9.0,Molho branco,101.39,2.147,2.569,17.859,1.683,6.833,1.553,0.639,0.147,0.116,0.03,0.097,1.721,-,29.279,18.312,0.122,51.693,0.318,24.917,242,292.454,0.138,0.305,1.409,20.697,21.214,0.097,0.058,1.145,1.78,0.223,0.09,10.796,0.227,0.113,5.924,2
6400101,Batata-inglesa,10.0,Ao alho e óleo,263.5,2.871,13.64,33.6,3.442,-,2.152,3.073,7.851,6.918,0.931,0.072,1.444,-,13.433,33.583,0.235,67.166,0.527,8.396,380,550.764,0.28,0.455,6.678,-,0.28,0.165,0.032,2.203,2.959,0.452,-,15.112,-,1.203,12.426,2
6400101,Batata-inglesa,11.0,Com manteiga/óleo,111.736,1.71,3.011,20.01,2.05,-,0.482,0.665,1.724,1.515,0.208,0.016,0.86,-,8,20,0.14,40,0.311,5,242,328,0.167,0.27,1.634,-,0.167,0.098,0.019,1.312,1.762,0.269,-,9,-,0.298,7.4,2
6400101,Batata-inglesa,13.0,Ensopado,111.736,1.71,3.011,20.01,2.05,-,0.482,0.665,1.724,1.515,0.208,0.016,0.86,-,8,20,0.14,40,0.311,5,242,328,0.167,0.27,1.634,-,0.167,0.098,0.019,1.312,1.762,0.269,-,9,-,0.298,7.4,2
6400101,Batata-inglesa,15.0,Sopa,31.443,0.948,0.123,7.012,0.711,-,0.039,0.027,0.032,0.027,0.005,0.002,3.275,2.523,8.555,6.347,0.068,15.762,0.285,310.432,-,88.315,0.039,0.115,1.344,-,33.476,0.03,0.026,0.505,0.667,0.04,0.015,9.276,-,0.204,2.099,2
6400101,Batata-inglesa,99.0,Não se aplica,86,1.71,0.1,20.01,2.05,-,0.026,0.002,0.043,0.032,0.01,-,0.86,-,8,20,0.14,40,0.31,5,242,328,0.167,0.27,0.3,-,0.167,0.098,0.019,1.312,1.762,0.269,-,9,-,0.06,7.4,2
6400303,Mandioquinha salsa (batata-baroa),2.0,Cozido(a),76,1.37,0.14,17.72,2.5,-,0.03,-,0.06,0.06,-,-,5.74,-,27,18,0.27,32,0.72,27,148,230,0.09,0.2,0.2,-,787,0.06,0.05,0.54,1,0.17,-,6,-,0.94,12.8,2
6400303,Mandioquinha salsa (batata-baroa),7.0,Refogado(a),91.74,1.37,1.92,17.72,2.5,-,0.29,0.41,1.09,0.97,0.12,-,5.74,-,27,18,0.27,32,0.72,27,148,230,0.09,0.2,1.02,-,787,0.06,0.05,0.54,1,0.17,-,6,-,1.1,12.8,2
6400303,Mandioquinha salsa (batata-baroa),13.0,Ensopado,91.74,1.37,1.92,17.72,2.5,-,0.29,0.41,1.09,0.97,0.12,-,5.74,-,27,18,0.27,32,0.72,27,148,230,0.09,0.2,1.02,-,787,0.06,0.05,0.54,1,0.17,-,6,-,1.1,12.8,2
6400303,Mandioquinha salsa (batata-baroa),99.0,Não se aplica,76,1.37,0.14,17.72,2.5,-,0.03,-,0.06,0.06,-,-,5.74,-,27,18,0.27,32,0.72,27,148,230,0.09,0.2,0.2,-,787,0.06,0.05,0.54,1,0.17,-,6,-,0.94,12.8,2
6400304,Cenoura amarela (batata-baroa),99.0,Não se aplica,76,1.37,0.14,17.72,2.5,-,0.03,-,0.06,0.06,-,-,5.74,-,27,18,0.27,32,0.72,27,148,230,0.09,0.2,0.2,-,787,0.06,0.05,0.54,1,0.17,-,6,-,0.94,12.8,2
6400401,Batata-doce,1.0,Cru(a),76,1.37,0.14,17.72,2.5,-,0.03,-,0.06,0.06,-,-,5.74,-,27,18,0.27,32,0.72,27,148,230,0.09,0.2,0.2,-,787,0.06,0.05,0.54,1,0.17,-,6,-,0.94,12.8,2
6400401,Batata-doce,2.0,Cozido(a),76,1.37,0.14,17.72,2.5,-,0.03,-,0.06,0.06,-,-,5.74,-,27,18,0.27,32,0.72,27,148,230,0.09,0.2,0.2,-,787,0.06,0.05,0.54,1,0.17,-,6,-,0.94,12.8,2
6400401,Batata-doce,4.0,Assado(a),90,2.01,0.15,20.71,3.3,-,0.03,-,0.06,0.06,-,-,6.47,-,38,27,0.5,54,0.69,36,148,475,0.16,0.32,0.2,-,960.88,0.11,0.11,1.49,2.15,0.29,-,6,-,0.71,19.6,2
6400401,Batata-doce,5.0,Frito(a),351.28,4.4,12.59,56.88,8.03,-,1.85,2.83,7.22,6.39,0.83,-,18.43,-,86.67,57.78,0.85,102.72,2.31,86.67,148,738.3,0.3,0.64,6.21,-,2526.27,0.18,0.15,1.73,3.22,0.53,-,19.26,-,4.14,41.09,2
6400401,Batata-doce,7.0,Refogado(a),91.74,1.37,1.92,17.72,2.5,-,0.29,0.41,1.09,0.97,0.12,-,5.74,-,27,18,0.27,32,0.72,27,148,230,0.09,0.2,1.02,-,787,0.06,0.05,0.54,1,0.17,-,6,-,1.1,12.8,2
6400401,Batata-doce,13.0,Ensopado,91.74,1.37,1.92,17.72,2.5,-,0.29,0.41,1.09,0.97,0.12,-,5.74,-,27,18,0.27,32,0.72,27,148,230,0.09,0.2,1.02,-,787,0.06,0.05,0.54,1,0.17,-,6,-,1.1,12.8,2
6400401,Batata-doce,99.0,Não se aplica,76,1.37,0.14,17.72,2.5,-,0.03,-,0.06,0.06,-,-,5.74,-,27,18,0.27,32,0.72,27,148,230,0.09,0.2,0.2,-,787,0.06,0.05,0.54,1,0.17,-,6,-,0.94,12.8,2
6400501,Inhame,1.0,Cru(a),100,1.71,0.12,23.4,1.8,-,0.03,0.01,0.05,0.04,0.01,-,6.47,-,35,21,0.67,44,0.54,8,260,377,0.18,0.3,0.6,-,1043.46,0.07,0.06,0.56,0.91,0.19,-,22,-,0.77,9.1,2
6400501,Inhame,2.0,Cozido(a),100,1.71,0.12,23.4,1.8,-,0.03,0.01,0.05,0.04,0.01,-,6.47,-,35,21,0.67,44,0.54,8,260,377,0.18,0.3,0.6,-,1043.46,0.07,0.06,0.56,0.91,0.19,-,22,-,0.77,9.1,2
6400501,Inhame,4.0,Assado(a),90,2.01,0.15,20.71,3.3,-,0.03,-,0.06,0.06,-,-,6.47,-,38,27,0.5,54,0.69,36,260,475,0.16,0.32,0.2,-,960.88,0.11,0.11,1.49,2.15,0.29,-,6,-,0.71,19.6,2
6400501,Inhame,5.0,Frito(a),115.74,1.71,1.9,23.4,1.8,-,0.28,0.42,1.08,0.95,0.13,-,6.47,-,35,21,0.67,44,0.54,8,260,377,0.18,0.3,1.42,-,1043.46,0.07,0.06,0.56,0.91,0.19,-,22,-,0.93,9.1,2
6400501,Inhame,7.0,Refogado(a),115.74,1.71,1.9,23.4,1.8,-,0.28,0.42,1.08,0.95,0.13,-,6.47,-,35,21,0.67,44,0.54,8,260,377,0.18,0.3,1.42,-,1043.46,0.07,0.06,0.56,0.91,0.19,-,22,-,0.93,9.1,2
6400501,Inhame,13.0,Ensopado,115.74,1.71,1.9,23.4,1.8,-,0.28,0.42,1.08,0.95,0.13,-,6.47,-,35,21,0.67,44,0.54,8,260,377,0.18,0.3,1.42,-,1043.46,0.07,0.06,0.56,0.91,0.19,-,22,-,0.93,9.1,2
6400501,Inhame,15.0,Sopa,31.443,0.948,0.123,7.012,0.711,-,0.039,0.027,0.032,0.027,0.005,0.002,3.275,2.523,8.555,6.347,0.068,15.762,0.285,310.432,-,88.315,0.039,0.115,1.344,-,33.476,0.03,0.026,0.505,0.667,0.04,0.015,9.276,-,0.204,2.099,2
6400508,Quicaré,99.0,Não se aplica,100,1.71,0.12,23.4,1.8,-,0.03,0.01,0.05,0.04,0.01,-,6.47,-,35,21,0.67,44,0.54,8,260,377,0.18,0.3,0.6,-,1043.46,0.07,0.06,0.56,0.91,0.19,-,22,-,0.77,9.1,2
6400601,Mandioca,1.0,Cru(a),125,0.6,0.3,30.1,1.6,-,0.1,0.1,0.1,0.05,0.01,-,-,-,19,27,0.06,22,0.1,1,286,100,0.01,0.2,-,-,-,0.06,-,-,-,0.03,-,-,-,-,11.1,2
6400601,Mandioca,2.0,Cozido(a),125,0.6,0.3,30.1,1.6,-,0.1,0.1,0.1,0.05,0.01,-,-,-,19,27,0.06,22,0.1,1,286,100,0.01,0.2,-,-,-,0.06,-,-,-,0.03,-,-,-,-,11.1,2
6400601,Mandioca,4.0,Assado(a),125,0.6,0.3,30.1,1.6,-,0.1,0.1,0.1,0.05,0.01,-,-,-,19,27,0.06,22,0.1,1,286,100,0.01,0.2,-,-,-,0.06,-,-,-,0.03,-,-,-,-,11.1,2
6400601,Mandioca,5.0,Frito(a),162.7367,0.57,5.2608500000000005,28.595,1.52,-,0.8737,1.22865,2.9680500000000003,2.5828,0.34730000000000005,0.026500000000000003,-,-,18.05,25.65,0.056999999999999995,20.9,0.0975,0.95,286,95,0.0095,0.1905,2.28045,-,-,0.056999999999999995,-,-,-,0.028499999999999998,-,-,-,0.40705,10.545,2
6400601,Mandioca,7.0,Refogado(a),162.7367,0.57,5.2608500000000005,28.595,1.52,-,0.8737,1.22865,2.9680500000000003,2.5828,0.34730000000000005,0.026500000000000003,-,-,18.05,25.65,0.056999999999999995,20.9,0.0975,0.95,286,95,0.0095,0.1905,2.28045,-,-,0.056999999999999995,-,-,-,0.028499999999999998,-,-,-,0.40705,10.545,2
6400601,Mandioca,8.0,Molho vermelho,104.8,0.744,0.27599999999999997,25.156000000000002,1.58,-,0.08600000000000002,0.08600000000000002,0.09400000000000001,0.054000000000000006,0.008,-,0.85,-,17.8,24.8,0.07,22.8,0.28400000000000003,105.6,228.8,146.2,0.032,0.2,0.04,-,3.4840000000000004,0.052000000000000005,0.014000000000000002,0.196,0.22799999999999998,0.044000000000000004,-,2.2,-,0.284,10.28,2
6400601,Mandioca,11.0,Com manteiga/óleo,154.6,0.6125,4.3405000000000005,28.598,1.52,10.75,2.6635000000000004,1.146,0.24700000000000003,0.184,0.025500000000000002,0.164,0.005,-,19.25,25.75,0.056999999999999995,22.1,0.096,29.75,286,96.2,0.0095,0.1945,0.05,33.55,34.2085,0.0575,0.0015,0.002,0.012,0.028499999999999998,0.0085,0.15,0.07,0.11599999999999999,10.545,2
6400601,Mandioca,13.0,Ensopado,162.7367,0.57,5.2608500000000005,28.595,1.52,-,0.8737,1.22865,2.9680500000000003,2.5828,0.34730000000000005,0.026500000000000003,-,-,18.05,25.65,0.056999999999999995,20.9,0.0975,0.95,286,95,0.0095,0.1905,2.28045,-,-,0.056999999999999995,-,-,-,0.028499999999999998,-,-,-,0.40705,10.545,2
6400601,Mandioca,15.0,Sopa,31.443,0.948,0.123,7.012,0.711,-,0.039,0.027,0.032,0.027,0.005,0.002,3.275,2.523,8.555,6.347,0.068,15.762,0.285,310.432,-,88.315,0.039,0.115,1.344,-,33.476,0.03,0.026,0.505,0.667,0.04,0.015,9.276,-,0.204,2.099,2
6400601,Mandioca,99.0,Não se aplica,125,0.6,0.3,30.1,1.6,-,0.1,0.1,0.1,0.05,0.01,-,-,-,19,27,0.06,22,0.1,1,286,100,0.01,0.2,-,-,-,0.06,-,-,-,0.03,-,-,-,-,11.1,2
6400609,Aipim,2.0,Cozido(a),125,0.6,0.3,30.1,1.6,-,0.1,0.1,0.1,0.05,0.01,-,-,-,19,27,0.06,22,0.1,1,286,100,0.01,0.2,-,-,-,0.06,-,-,-,0.03,-,-,-,-,11.1,2
6400609,Aipim,4.0,Assado(a),125,0.6,0.3,30.1,1.6,-,0.1,0.1,0.1,0.05,0.01,-,-,-,19,27,0.06,22,0.1,1,286,100,0.01,0.2,-,-,-,0.06,-,-,-,0.03,-,-,-,-,11.1,2
6400609,Aipim,5.0,Frito(a),162.7367,0.57,5.2608500000000005,28.595,1.52,-,0.8737,1.22865,2.9680500000000003,2.5828,0.34730000000000005,0.026500000000000003,-,-,18.05,25.65,0.056999999999999995,20.9,0.0975,0.95,286,95,0.0095,0.1905,2.28045,-,-,0.056999999999999995,-,-,-,0.028499999999999998,-,-,-,0.40705,10.545,2
6400609,Aipim,6.0,Empanado(a)/à milanesa,162.7367,0.57,5.2608500000000005,28.595,1.52,-,0.8737,1.22865,2.9680500000000003,2.5828,0.34730000000000005,0.026500000000000003,-,-,18.05,25.65,0.056999999999999995,20.9,0.0975,0.95,286,95,0.0095,0.1905,2.28045,-,-,0.056999999999999995,-,-,-,0.028499999999999998,-,-,-,0.40705,10.545,2
6400609,Aipim,7.0,Refogado(a),162.7367,0.57,5.2608500000000005,28.595,1.52,-,0.8737,1.22865,2.9680500000000003,2.5828,0.34730000000000005,0.026500000000000003,-,-,18.05,25.65,0.056999999999999995,20.9,0.0975,0.95,286,95,0.0095,0.1905,2.28045,-,-,0.056999999999999995,-,-,-,0.028499999999999998,-,-,-,0.40705,10.545,2
6400609,Aipim,8.0,Molho vermelho,104.8,0.744,0.27599999999999997,25.156000000000002,1.58,-,0.08600000000000002,0.08600000000000002,0.09400000000000001,0.054000000000000006,0.008,-,0.85,-,17.8,24.8,0.07,22.8,0.28400000000000003,105.6,228.8,146.2,0.032,0.2,0.04,-,3.4840000000000004,0.052000000000000005,0.014000000000000002,0.196,0.22799999999999998,0.044000000000000004,-,2.2,-,0.284,10.28,2
