AG Linoléico (g),AG Linolênico (g),AG Mono (g),AG Poli (g),AG Saturados (g),AG Trans total(g),Açúcar de adição (g),Açúcar total (g),Carboidrato (g),Cobalamina (mcg),Cobre (mg),Colesterol (mg),Cálcio (mg),Código da preparação,Energia (kcal),Ferro (mg),Fibra alimentar total (g),Folato (DFE) (mcg),Fósforo (mg),Lipídios totais (g),Magnésio (mg),Manganês (mg),Niacina (NE) (mg),Niacina (mg),Piridoxina (mg),Potássio (mg),Proteína (g),Retinol (mcg),Riboflavina (mg),Selênio (mcg),Sódio (mg),Sódio de adição (mg),Tiamina (mg),Vitamina A (RAE) (mcg),Vitamina C (mg),Vitamina D (mcg),Vitamina E (mg),Zinco (mg),Grupo Alimentar
-0.2790450573550423,-0.1362901183092322,-0.5129211859532803,-0.3127512252997843,-0.4931132220396647,-0.2507819478301241,-0.3598527624709684,-0.48832024278941333,0.37875023615461095,-0.19473522986338948,-0.20294387057777888,-0.34307953369743444,-0.4200040551902185,0.7169270046451219,-0.37350048994666046,-0.4459886327331687,-0.094868301885061,-0.29403081842252654,-0.7563702803098691,-0.6008258037700114,-0.499354474540142,-0.04484549663423183,-0.7686204688386488,-0.6171104996803499,-0.6752002171576622,-0.7648618999614797,-0.6926307063923689,-0.1560960522544753,-0.4421550427652569,-0.1719914324838166,-0.5315952161058042,1.9788228854245933,-0.3272952861295102,-0.19085146561812755,-0.1377589526921466,-0.3062518876873657,-0.3420361052501385,-0.1540511314445033,Cereais e leguminosas
-0.20520719970562049,-0.12559561021617685,-0.44335155285537414,-0.2353559350211541,-0.4751814405962385,-0.2507819478301241,-0.3598527624709684,-0.48832024278941333,0.28396149055433184,-0.19473522986338948,-0.19771304981525387,-0.34307953369743444,-0.40947428481751985,0.7169270046451219,-0.40450759543640685,-0.3985761993558914,0.1809884179286151,-0.29403081842252654,-0.12985005460114663,-0.5421003687439001,0.5222993707199534,0.13170135801522925,-0.7686204688386488,-0.6171104996803499,-0.34676907761465225,-0.5556723312626254,-0.6858555862840365,-0.1560960522544753,-0.4421550427652569,-0.1719914324838166,-0.5314910971815862,1.284728287321937,-0.14042860605824758,-0.19085146561812755,-0.1377589526921466,-0.3062518876873657,-0.3420361052501385,-0.12513030386629506,Cereais e leguminosas
0.6261194443726281,0.24365674449279426,-0.2501899770859803,0.5850305465138729,-0.3537924435058136,-0.22750590418066058,-0.3598527624709684,-0.28112787669867834,0.2649524917166048,-0.19473522986338948,-0.17110272831114884,-0.34307953369743444,-0.4222952986621668,-1.4795918157314312,-0.21096364639913176,-0.35076059539593424,0.5391136303133222,0.08212153113585001,-0.34444916582335056,-0.14237847148540433,-0.06480111641692048,-0.11750718735651058,-0.34808064041389486,-0.15381502463682084,-0.4264390025977173,-0.07488705919530579,-0.6090343639419779,-0.1560960522544753,-0.28410613810903246,-0.14642164007691574,0.05096847968734124,1.0279132860239544,0.17987922678860563,-0.17418590461269634,-0.06462314981875325,-0.3062518876873657,-0.1074845043722699,-0.1350639393385171,Cereais e leguminosas
0.6261194443726281,0.24365674449279426,-0.2501899770859803,0.5850305465138729,-0.3537924435058136,-0.22750590418066058,-0.3598527624709684,-0.28112787669867834,0.2649524917166048,-0.19473522986338948,-0.17110272831114884,-0.34307953369743444,-0.42326920836994225,-1.3451110716267443,-0.21096364639913176,-0.35127730410579383,0.5391136303133222,0.08212153113585001,-0.34444916582335056,-0.14237847148540433,-0.0649107840357956,-0.11804638333592782,-0.34808064041389486,-0.15381502463682084,-0.4264390025977173,-0.07506521084895824,-0.6090343639419779,-0.1560960522544753,-0.28410613810903246,-0.14643204685814132,-0.5344364006893915,1.0279132860239544,0.17987922678860563,-0.17418590461269634,-0.06462314981875325,-0.3062518876873657,-0.1074845043722699,-0.1350639393385171,Cereais e leguminosas
-0.12105823048821483,-0.06523330949769661,-0.46588253779146566,-0.14212980886099089,-0.4970366277286983,-0.24644711617162135,-0.3598527624709684,-0.4696335895185717,-0.22884856934911746,-0.19473522986338948,-0.19487438396794796,-0.34307953369743444,-0.4203795157501613,-1.4795918157314312,-0.7443614769310023,-0.27480441504657055,-0.29969463755045184,-0.12383823469734195,-0.7553348357539826,-0.5242927831579425,-0.4135075885668191,-0.18652427272191519,-0.5544547174575899,-0.3570450099719005,-0.5342355289070267,-0.7249449775248638,-0.8203875108766971,-0.1560960522544753,-0.28630126178481335,-0.14701482660677398,-0.2201855051918491,0.2019407142817934,-0.07960540772763969,-0.18853901935421605,-0.1377589526921466,-0.3062518876873657,-0.29332713339811406,-0.20833599804453268,Cereais e leguminosas
-0.4085948686382558,-0.2045578443395614,-0.5415857085276743,-0.4268973718938558,-0.5506400139865667,-0.2554667409292217,-0.3598527624709684,-0.4696335895185717,-0.22884856934911746,-0.19473522986338948,-0.19487438396794796,-0.34307953369743444,-0.420879285205467,-1.45717835838065,-0.8552559339864346,-0.2753211237564302,-0.29969463755045184,-0.12383823469734195,-0.7553348357539826,-0.6694662353659977,-0.4135624223762566,-0.18652427272191519,-0.5544547174575899,-0.3570450099719005,-0.5342355289070267,-0.7250357999365297,-0.8203875108766971,-0.1560960522544753,-0.28630126178481335,-0.1560479127105802,-0.5224660987437707,0.2019407142817934,-0.07960540772763969,-0.18853901935421605,-0.1377589526921466,-0.3062518876873657,-0.367187665446847,-0.20833599804453268,Cereais e leguminosas
-0.12105823048821483,-0.06523330949769661,-0.46588253779146566,-0.14212980886099089,-0.4970366277286983,-0.24644711617162135,-0.3598527624709684,-0.4696335895185717,-0.22884856934911746,-0.19473522986338948,-0.19487438396794796,-0.34307953369743444,-0.420879285205467,-1.2106303275220573,-0.7443614769310023,-0.2750627694015004,-0.29969463755045184,-0.12383823469734195,-0.7553348357539826,-0.5242927831579425,-0.4135624223762566,-0.18652427272191519,-0.5544547174575899,-0.3570450099719005,-0.5342355289070267,-0.7250357999365297,-0.8203875108766971,-0.1560960522544753,-0.28630126178481335,-0.14702523338799955,-0.5224660987437707,0.2019407142817934,-0.07960540772763969,-0.18853901935421605,-0.1377589526921466,-0.3062518876873657,-0.29332713339811406,-0.20833599804453268,Cereais e leguminosas
-0.43693094812399635,-0.20239777403193557,-0.5472063615753743,-0.45112736582071433,-0.549553458859718,-0.25366281597770163,-0.19396845596950477,-0.27358764818588266,-0.5049976765583536,-0.19279233749766397,-0.1790266135300819,-0.34307953369743444,-0.38767665293117687,-1.165803412820495,-1.064137656090668,-0.3920972921847036,-0.2905516743177277,-0.21817887941158087,-0.7708167331390403,-0.6834237463548334,-0.42412706966122576,-0.16657402148347794,-0.6281597449731953,-0.47215125872806857,-0.5093594074510323,-0.5071179026530539,-0.8497111111955323,-0.1560960522544753,-0.38508182719495365,-0.16265621878882552,0.20742121032736976,-0.6726184793275534,-0.2565267494432615,-0.1484806658749958,-0.11299894459033166,-0.3062518876873657,-0.28284370304281004,-0.21077840000139988,Cereais e leguminosas
4.194675812450522,-0.2045578443395614,3.738892878111316,3.594239469688245,0.6809702222964151,-0.2554667409292217,-0.3598527624709684,-0.22605142495303995,-0.11708709890717278,-0.19473522986338948,0.9154600323350428,-0.34307953369743444,0.14698055473538918,0.7169270046451219,2.486215209597766,0.7175346622388239,1.5354621877255745,1.668503179273351,1.8220088132107597,3.0833403593520052,2.530556196008528,0.8395656761090612,2.6498187073351267,2.8464106910725753,0.7676148272900183,1.6470674411251627,1.6719155847342044,-0.1560960522544753,-0.1458133465348361,-0.10171410793181038,-0.4914207418710297,-0.6726184793275534,1.1824334965104626,-0.19085146561812755,-0.1377589526921466,-0.3062518876873657,3.589354254557215,0.2708327358683485,Cereais e leguminosas
0.010779107750704342,0.0211695028073358,-0.434968946029116,-0.005868660218549547,-0.46914837947291543,-0.24193730379282116,-0.3598527624709684,-0.09885104830239883,-0.1383587910354454,-0.19473522986338948,-0.046301536112953644,-0.34307953369743444,-0.2694939913527742,0.7169270046451219,-0.5493747083172155,-0.06760422239286415,0.832157323669867,0.22113435597264133,-0.042152703632544496,-0.458263019633835,0.1727023901936143,0.07983854111019324,-0.21309514716388628,-0.03698648786933868,0.22034015525813955,0.13103180023922256,-0.4020442440443172,-0.1560960522544753,-0.11508161507390363,-0.14333082605291753,-0.5272671242196645,0.9654447721947153,0.28367308059510377,-0.14011814126324795,0.02974562808239948,-0.3062518876873657,-0.20278841669321562,-0.046679518524385774,Cereais e leguminosas
